Dataset Index,Execution,Algorithm Type,Radius,Silhouette,Rand Index,Duration
5,7,approx2_25,47.811478747263195,0.10768371260400567,0.42538470625032027,0.004043102264404297
5,8,np,43.04355492363531,0.16749434704326824,0.5814843643884708,0.005896329879760742
5,9,approx1,47.83304297240559,0.09395580711365797,0.30924291018242017,0.022617101669311523
5,10,approx2_5,57.37377449671584,0.04705821401249873,0.15415475085524913,0.001058816909790039
5,11,approx2_10,47.811478747263195,0.10768371260400567,0.42538470625032027,0.002066373825073242
5,12,approx2_15,47.811478747263195,0.10768371260400567,0.42538470625032027,0.0028891563415527344
5,13,approx2_20,47.811478747263195,0.10768371260400567,0.42538470625032027,0.0032262802124023438
5,14,approx2_25,47.811478747263195,0.10768371260400567,0.42538470625032027,0.004063606262207031
6,1,np,226.2963141865206,0.43531222079131815,0.2693437479261635,0.003117084503173828
6,2,approx1,67.72001181334805,0.591419181654677,0.5236153910081627,0.013568639755249023
6,3,approx2_5,1245.4284152451316,0.21320650121636303,0.01999340473665267,0.0017142295837402344
6,4,approx2_10,622.7142076225658,0.21320650121636303,0.01999340473665267,0.002445697784423828
6,5,approx2_15,311.3571038112829,0.22293974091715857,0.01754593374117101,0.0031969547271728516
6,6,approx2_20,155.67855190564146,0.2268942291377141,0.01512277663737444,0.004292964935302734
6,7,approx2_25,77.83927595282073,0.39308145377759623,0.5315299187205331,0.00535273551940918
6,8,np,210.62843113422772,0.3073819234211132,0.20281979143927042,0.0032083988189697266
6,9,approx1,67.72001181334805,0.591419181654677,0.5236153910081627,0.013238191604614258
6,10,approx2_5,1245.4284152451316,0.21320650121636303,0.01999340473665267,0.001750946044921875
6,11,approx2_10,622.7142076225658,0.21320650121636303,0.01999340473665267,0.0027637481689453125
6,12,approx2_15,311.3571038112829,0.22293974091715857,0.01754593374117101,0.0031867027282714844
6,13,approx2_20,155.67855190564146,0.2268942291377141,0.01512277663737444,0.00401616096496582
6,14,approx2_25,77.83927595282073,0.39308145377759623,0.5315299187205331,0.004758119583129883
7,1,np,506.3813350271913,0.5168121972396802,-0.07615345776547996,0.0030317306518554688
7,2,approx1,329.83448999590144,0.7320636616818826,-0.028135936751261612,0.002949953079223633
7,3,approx2_5,384.8102317284955,-0.19506463087063253,-0.0585230689661602,0.0009746551513671875
